ID,Description,Create Time,Author ID,Author Nickname,Music ID,Music Title,Digg Count,Share Count,Comment Count,Play Count,Engagement Rate
7386415023498808607,"Little Rock, Paper, Scissors to see who gets the water 😂🇪🇸 #SummerOfStars #Euros2024 #Spain #nicowilliams #yamal #brothers ",1719783783,7029443353189155846,FOXSoccer,7244591358885776174,scars by novulent,34500,1467,145,293600,0.12299727520435967
7275949658684558610,"3 #beautiful locations you must visit in #spain 🥰  #seville  is the capital and largest city of the Spanish autonomous community of Andalusia and the province of Seville. It is situated on the lower reaches of the River Guadalquivir, in the southwest of the Iberian Peninsula. #iznajar The town, situated on a hill overlooking the great Iznajar reservoir on the Genil river, is a core of narrow streets, winding hill with whitewashed houses that seem to hang over the water, forming an image of great beauty and local color. The Castle, situated at the top, is the perfect item to complete this singular place #ronda Ronda is a mountaintop city in Spain’s Malaga province that’s set dramatically above a deep gorge. This gorge (El Tajo) separates the city’s circa-15th-century new town from its old town, dating to Moorish rule. Puente Nuevo, a stone bridge spanning the gorge, has a lookout offering views. New town’s Plaza de Toros, a legendary 18th-century bullring, is one of the city’s most recognizable landmarks. #spain #andalusia #travel #trending #viral #europe #traveltiktok #beautifuldestinations #amazingplaces ",1694064046,7242580370507219986,AMAZING_PLACES,7275949725180775170,original sound,29700,5742,281,975200,0.036631460213289585
7232401535332912427,This was definitely the most expensive trip mishap I’ve ever had 🤷🏾‍♀️ #europe #europetravel #barcelona #barcelonaspain #spain #traveltips #travelmistakes #travelmishaps ,1683924720,6749288273946936326,Jess | Boston Travel Creator,7232401566630693675,original sound,119800,23000,687,2600000,0.055187307692307695
7264728909269175598,These 3 locations [save this] are definitely not to be missed on your Mallorca Itinerary 🇪🇸🤍. This island blew me away with its charm and natural beauty! @Trtl Travel #mallorca #spain #traveltok #bucketlist #summertravel ,1691451516,6746366329496503301,Mona | Travel + Wealth Mindset,7264728899676916526,original sound,31600,10800,158,822000,0.051773722627737224
7378804411809729825,Lamine Yamal vision 😳 #EURO2024 #Spain ,1718011788,6900726384428844037,EURO2024,7259080503781148674,Sequência da Orquestra (Slowed+Reverb),1600000,25800,5711,19300000,0.08453424870466321
7367381520761359662,Beaches in Spain are wild #spain #malaga ,1715352203,6719477318416745477,Sam Ramsdell,7367381609646951211,original sound,166800,6539,520,3200000,0.0543309375
7309912264486685984,I love her vibes #culture #spain #funny #guessinggame #tennis,1701971583,7276690668617516064,taxpayer,7309912286469065504,original sound,427600,1782,3293,15000000,0.028845
7272407248377400622,Its freeing okay  #fyp #contentcreators #travel #europe #contentcreator #traveltiktok #barcelona #spain #beachinspain🇪🇸 ,1693239281,7243165690191184942,Mik,6797452014277249798,original sound,5277,118,79,389600,0.014050308008213552
7345199689299414315,Casillas🇪🇸🧱🧤 #casillas #spain #fyp #zyxcba ,1710187594,7192358131682509870,.hetc,7345199785769700139,original sound,269600,2973,1032,2700000,0.10133518518518518
7350717217463471393,5 mistakes to avoid when coming to Madrid! Part 2?? #madrid #spain #españa #spain🇪🇸 #travel #traveltiktok #tips #tipsandtricks #abroad #europe #lifehacks #viajar #viaje #viajes #fyp #explore ,1711472229,7235589183904384027,Maddy | Life in Spain,7350717260384062240,original sound,70600,9799,749,909300,0.0892422742769163
7369576569100061995,GenX has found ticktok #genx #reddawn #genxtiktokers ,1715863274,7169189867480745002,Lewis Walker,7369576633671420715,original sound,118000,16900,11700,1200000,0.12216666666666667
